"126","16","Weightlifting Men's Heavyweight"
"127","24","Equestrianism Mixed Three-Day Event, Individual"
"128","24","Equestrianism Mixed Three-Day Event, Team"
"129","33","Figure Skating Mixed Team"
"130","10","Sailing Women's Three Person Keelboat"
"131","28","Cycling Women's Road Race, Individual"
"132","34","Golf Women's Individual"
"133","35","Softball Women's Softball"
"134","36","Archery Women's Individual"
"135","17","Wrestling Men's Heavyweight, Greco-Roman"
"136","37","Volleyball Men's Volleyball"
"137","27","Taekwondo Women's Heavyweight"
"138","38","Synchronized Swimming Women's Duet"
"139","38","Synchronized Swimming Women's Team"
"140","27","Taekwondo Women's Featherweight"
"141","6","Athletics Men's Marathon"
"142","6","Athletics Men's 4 x 400 metres Relay"
"143","6","Athletics Men's 10,000 metres"
"144","6","Athletics Women's 3,000 metres"
"145","29","Diving Women's Platform"
"146","25","Shooting Men's Air Rifle, 10 metres"
"147","6","Athletics Men's 200 metres"
"148","16","Weightlifting Men's Flyweight"
"149","8","Swimming Men's 100 metres Backstroke"
"150","16","Weightlifting Men's Light-Heavyweight"
"151","17","Wrestling Men's Lightweight, Greco-Roman"
"152","23","Fencing Men's Sabre, Individual"
"153","17","Wrestling Men's Super-Heavyweight, Greco-Roman"
"154","25","Shooting Men's Free Pistol, 50 metres"
"155","25","Shooting Men's Air Pistol, 10 metres"
"156","21","Rowing Men's Coxless Fours"
"157","26","Boxing Men's Light-Flyweight"
"158","26","Boxing Men's Super-Heavyweight"
"159","17","Wrestling Men's Flyweight, Greco-Roman"
"160","25","Shooting Women's Air Rifle, 10 metres"
"161","16","Weightlifting Men's Middle-Heavyweight"
"162","6","Athletics Men's Javelin Throw"
"163","37","Volleyball Women's Volleyball"
"164","17","Wrestling Men's Welterweight, Greco-Roman"
"165","17","Wrestling Men's Middleweight, Greco-Roman"
"166","6","Athletics Men's 3,000 metres Steeplechase"
"167","17","Wrestling Men's Middleweight, Freestyle"
"168","8","Swimming Women's 100 metres Backstroke"
"169","8","Swimming Women's 200 metres Backstroke"
"170","8","Swimming Women's 4 x 100 metres Medley Relay"
"171","17","Wrestling Men's Light-Heavyweight, Freestyle"
"172","32","Modern Pentathlon Men's Team"
"173","26","Boxing Men's Bantamweight"
"174","6","Athletics Women's 200 metres"
"175","39","Table Tennis Women's Singles"
"176","39","Table Tennis Women's Doubles"
"177","25","Shooting Men's Skeet"
"178","8","Swimming Women's 50 metres Freestyle"
"179","25","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
"180","6","Athletics Men's Triple Jump"
"181","16","Weightlifting Women's Lightweight"
"182","6","Athletics Women's Long Jump"
"183","23","Fencing Women's epee, Individual"
"184","8","Swimming Men's 200 metres Freestyle"
"185","8","Swimming Men's 4 x 100 metres Freestyle Relay"
"186","8","Swimming Men's 200 metres Backstroke"
"187","8","Swimming Men's 200 metres Individual Medley"
"188","8","Swimming Men's 400 metres Individual Medley"
"189","9","Badminton Women's Singles"
"190","26","Boxing Men's Light-Middleweight"
"191","31","Tennis Men's Singles"
"192","17","Wrestling Men's Bantamweight, Freestyle"
"193","17","Wrestling Men's Flyweight, Freestyle"
"194","6","Athletics Women's 5,000 metres"
"195","16","Weightlifting Women's Light-Heavyweight"
"196","16","Weightlifting Women's Heavyweight"
"197","6","Athletics Men's Discus Throw"
"198","27","Taekwondo Men's Featherweight"
"199","27","Taekwondo Men's Welterweight"
"200","1","Judo Men's Heavyweight"
"201","28","Cycling Men's Sprint"
"202","22","Bobsleigh Men's Two"
"203","17","Wrestling Men's Lightweight, Freestyle"
"204","40","Nordic Combined Men's Team"
"205","40","Nordic Combined Men's Individual"
"206","41","Baseball Men's Baseball"
"207","21","Rowing Men's Coxed Fours"
"208","28","Cycling Men's 100 kilometres Team Time Trial"
"209","42","Rhythmic Gymnastics Women's Group"
"210","13","Art Competitions Mixed Architecture, Designs For Town Planning"
"211","13","Art Competitions Mixed Architecture, Architectural Designs"
"212","12","Gymnastics Women's Individual All-Around"
"213","12","Gymnastics Women's Team All-Around"
"214","12","Gymnastics Women's Floor Exercise"
"215","12","Gymnastics Women's Horse Vault"
"216","12","Gymnastics Women's Uneven Bars"
"217","12","Gymnastics Women's Balance Beam"
"218","29","Diving Women's Springboard"
"219","29","Diving Women's Synchronized Springboard"
"220","6","Athletics Women's 10,000 metres"
"221","10","Sailing Mixed 7 metres"
"222","1","Judo Women's Half-Middleweight"
"223","6","Athletics Men's Decathlon"
"224","11","Biathlon Men's 10 kilometres Sprint"
"225","11","Biathlon Men's 20 kilometres"
"226","11","Biathlon Men's 4 x 7.5 kilometres Relay"
"227","43","Freestyle Skiing Men's Moguls"
"228","17","Wrestling Men's Middleweight A, Greco-Roman"
"229","6","Athletics Women's Discus Throw"
"230","8","Swimming Women's 4 x 100 metres Freestyle Relay"
"231","6","Athletics Women's 1,500 metres"
"232","25","Shooting Women's Air Pistol, 10 metres"
"233","25","Shooting Women's Sporting Pistol, 25 metres"
"234","30","Canoeing Men's Kayak Doubles, 500 metres"
"235","30","Canoeing Men's Kayak Singles, 500 metres"
"236","30","Canoeing Men's Kayak Singles, 1,000 metres"
"237","25","Shooting Men's Running Target, 50 metres"
"238","1","Judo Women's Half-Heavyweight"
"239","6","Athletics Women's Pole Vault"
"240","44","Rugby Sevens Women's Rugby Sevens"
"241","39","Table Tennis Men's Team"
"242","33","Figure Skating Mixed Pairs"
"243","43","Freestyle Skiing Men's Aerials"
"244","21","Rowing Women's Coxed Eights"
"245","6","Athletics Women's 4 x 400 metres Relay"
"246","14","Alpine Skiing Women's Giant Slalom"
"247","14","Alpine Skiing Women's Super G"
"248","5","Cross Country Skiing Women's 5 kilometres"
"249","5","Cross Country Skiing Women's 10 kilometres"
"250","5","Cross Country Skiing Women's 20 kilometres"
"251","28","Cycling Men's 1,000 metres Time Trial"
"252","28","Cycling Men's Individual Pursuit, 4,000 metres"
"253","17","Wrestling Men's Welterweight, Freestyle"
"254","17","Wrestling Men's Bantamweight, Greco-Roman"
"255","21","Rowing Women's Lightweight Double Sculls"
"256","6","Athletics Women's 800 metres"
"257","21","Rowing Women's Coxed Quadruple Sculls"
"258","11","Biathlon Men's 12.5 kilometres Pursuit"
"259","11","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay"
"260","42","Rhythmic Gymnastics Women's Individual"
"261","30","Canoeing Men's Kayak Singles, Slalom"
"262","36","Archery Men's Individual"
"263","36","Archery Men's Team"
"264","4","Speed Skating Women's 1,500 metres"
"265","4","Speed Skating Women's Team Pursuit (6 laps)"
"266","5","Cross Country Skiing Men's Sprint"
"267","6","Athletics Women's 400 metres"
"268","33","Figure Skating Women's Singles"
"269","4","Speed Skating Men's 1,000 metres"
"270","45","Trampolining Men's Individual"
"271","46","Beach Volleyball Men's Beach Volleyball"
"272","28","Cycling Women's Mountainbike, Cross-Country"
"273","6","Athletics Men's Javelin Throw, Both Hands"
"274","47","Triathlon Women's Olympic Distance"
"275","12","Gymnastics Women's Team Portable Apparatus"
"276","28","Cycling Men's Mountainbike, Cross-Country"
"277","6","Athletics Women's 400 metres Hurdles"
"278","29","Diving Men's Springboard"
"279","17","Wrestling Men's Featherweight, Greco-Roman"
"280","39","Table Tennis Men's Singles"
"281","13","Art Competitions Mixed Painting"
"282","5","Cross Country Skiing Women's 3 x 5 kilometres Relay"
"283","1","Judo Men's Open Class"
"284","21","Rowing Women's Quadruple Sculls"
"285","12","Gymnastics Men's Team All-Around, Swedish System"
"286","40","Nordic Combined Men's Sprint"
"287","6","Athletics Women's Pentathlon"
"288","13","Art Competitions Mixed Painting, Unknown Event"
"289","28","Cycling Men's Team Pursuit, 4,000 metres"
"290","16","Weightlifting Women's Middleweight"
"291","8","Swimming Men's 1,500 metres Freestyle"
"292","17","Wrestling Women's Light-Heavyweight, Freestyle"
"293","8","Swimming Women's 100 metres Freestyle"
"294","24","Equestrianism Men's Jumping, Individual"
"295","24","Equestrianism Men's Jumping, Team"
"296","24","Equestrianism Men's Three-Day Event, Individual"
"297","24","Equestrianism Men's Three-Day Event, Team"
"298","14","Alpine Skiing Women's Combined"
"299","6","Athletics Women's High Jump"
"300","48","Ski Jumping Men's Normal Hill, Individual"
"301","30","Canoeing Women's Kayak Fours, 500 metres"
"302","7","Ice Hockey Women's Ice Hockey"
"303","10","Sailing Men's One Person Dinghy"
"304","45","Trampolining Women's Individual"
"305","49","Curling Men's Curling"
"306","13","Art Competitions Mixed Literature"
"307","1","Judo Men's Middleweight"
"308","11","Biathlon Women's 15 kilometres"
"309","11","Biathlon Women's 3 x 7.5 kilometres Relay"
"310","11","Biathlon Women's 4 x 7.5 kilometres Relay"
"311","1","Judo Men's Half-Lightweight"
"312","23","Fencing Women's Foil, Team"
"313","8","Swimming Women's 200 metres Butterfly"
"314","8","Swimming Women's 400 metres Individual Medley"
"315","34","Golf Men's Individual"
"316","6","Athletics Men's Standing High Jump"
"317","6","Athletics Men's Standing Long Jump"
"318","6","Athletics Men's 20 kilometres Walk"
"319","8","Swimming Men's 220 yard Freestyle"
"320","8","Swimming Men's 880 yard Freestyle"
"321","8","Swimming Men's One Mile Freestyle"
"322","8","Swimming Men's 4 x 50 Yard Freestyle Relay"
"323","8","Swimming Men's Plunge For Distance"
"324","25","Shooting Men's Free Rifle, Three Positions, 300 metres"
"325","25","Shooting Men's Military Rifle, Three Positions, 300 metres"
"326","25","Shooting Men's Military Rifle, Any Position, 600 metres"
"327","25","Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team"
"328","25","Shooting Men's Military Rifle, Prone, 300 metres"
"329","1","Judo Men's Half-Heavyweight"
"330","36","Archery Women's Team"
"331","6","Athletics Men's 50 kilometres Walk"
"332","21","Rowing Women's Double Sculls"
"333","10","Sailing Mixed 6 metres"
"334","26","Boxing Men's Light-Heavyweight"
"335","26","Boxing Women's Flyweight"
"336","6","Athletics Women's 100 metres Hurdles"
"337","6","Athletics Men's Discus Throw, Greek Style"
"338","49","Curling Women's Curling"
"339","10","Sailing Mixed One Person Dinghy"
"340","17","Wrestling Women's Heavyweight, Freestyle"
"341","9","Badminton Mixed Doubles"
"342","23","Fencing Women's Foil, Individual"
"343","10","Sailing Mixed Two Person Keelboat"
"344","25","Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team"
"345","39","Table Tennis Men's Doubles"
"346","17","Wrestling Men's Light-Flyweight, Freestyle"
"347","17","Wrestling Women's Featherweight, Freestyle"
"348","8","Swimming Women's 200 metres Freestyle"
"349","8","Swimming Women's 400 metres Freestyle"
"350","8","Swimming Women's 200 metres Individual Medley"
"351","10","Sailing Men's Windsurfer"
"352","43","Freestyle Skiing Men's Slopestyle"
"353","25","Shooting Men's Running Target, Single Shot"
"354","25","Shooting Men's Running Target, Double Shot"
"355","44","Rugby Sevens Men's Rugby Sevens"
"356","17","Wrestling Women's Lightweight, Freestyle"
"357","32","Modern Pentathlon Women's Individual"
"358","30","Canoeing Men's Canadian Doubles, Slalom"
"359","1","Judo Women's Half-Lightweight"
"360","29","Diving Women's Plain High"
"361","24","Equestrianism Men's Dressage, Individual"
"362","24","Equestrianism Men's Dressage, Team"
"363","31","Tennis Women's Singles, Covered Courts"
"364","29","Diving Men's Plain High"
"365","25","Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres"
"366","25","Shooting Mixed Small-Bore Rifle, Prone, 50 metres"
"367","8","Swimming Women's 800 metres Freestyle"
"368","10","Sailing Women's Two Person Dinghy"
"369","14","Alpine Skiing Women's Downhill"
"370","25","Shooting Men's Free Pistol, 50 metres, Team"
"371","25","Shooting Men's Free Rifle, Three Positions, 300 metres, Team"
"372","25","Shooting Men's Military Rifle, Prone, 300 metres, Team"
"373","25","Shooting Men's Military Rifle, Prone, 600 metres, Team"
"374","25","Shooting Men's Military Rifle, Standing, 300 metres, Team"
"375","25","Shooting Men's Free Rifle, Prone, 600 metres"
"376","25","Shooting Men's Free Rifle, 400, 600 and 800 metres, Team"
"377","21","Rowing Men's Single Sculls"
